tweet,label
26,@Reuters West & USA are trying to corner Putin.Putin's aggression on Ukrain is totally wrong. Putin attacked Ukrain on stories concocted by himself but war could has been avoided by all. Putin is new kim Jong now.,-1
27,@DonLew87 America your political leaders are trying to take over ukrain  in there proxy war with Putin ! Wake up fools! Zelenski is our puppet. Too bad Putin could not keep his cool. 6000 nukes idiots.,-1
28,"@SkyNews @haynesdeborah It is clear that US and NATO wants to weaken Russia by killing people of Ukraine, Finland and Sweden. They didn’t know how to fight Russia ,hence now they are using Russia Neighbours to anger Russia Federation. US and NATO wants nuclear War , they tried to anger Putin with Ukrain",0
29,"NPR:  U.S. nears passage of 40 billions more in aid; what could move President Vladimir Putin to end the war? Simple, NO NATO  on Russian borders , GET RID OF NAZI'S FROM UKRAIN, they are at Russian borders.
https://t.co/PQCczbFDT8

via @GoogleNews",0
30,"@jacksonhinklle @Nikodemus369369 I AGREE PUTIN IS VERY SMART  AND POPULAR.  👍  UKRAIN 
CANNOT WIN THIS  Why the never mention the,war on Syria Yemen Palestine   Iraq  why is UKRAINE  different??   It is unfair",0
31,"@LindseyGrahamDS 🇷🇺if the politicians can waist $40 billion in Ukrain then I should be able to give my hard earned money to Russia. Our corrupt are saying we are not at war with Russia  so I don’t see any reason that I can’t give Vladimir Putin a gift of $1,000 I wonder what the traitor Graham 🤔",0
32,"re- the other total losers are all the GOP party/. all Putin supporters who are murderers against Ukrain, killing thousands of women & children with their war machine run by Putin/.a Gastly bid for power by Putin/.REMEMBER WHEN U GO TO VOTE IN NOV 2022/. all GOP vote out/.Racist.",-1
33,"@realFFK Thnks sir for the update, but come back home and update us abt the psychological hypersonic weapons ur president is using against us. Nig is not at war, but in spite of the huge destruction that Putin is shamelessly visiting on Ukrain, I hv no doubt that Nigerians are dying more.",-1
34,"@KyivIndependent The War will end when the last ukrain in the country, take down the 🇺🇦 flag and leave the country = In short words: never end.
Ukrains have proven their strengths and Russians nows. Maybe if Mr.Putin will be sent to its final destination 6"" down in the earth. GO GO UKRAINE",1
35,@scrowder You can not even blame Putin fully for the Ukrain war. The Biden admin and Nato had a big deal in that as well,0
36,"@engpravda Russia is  already busy in a criminal war in Ukrain, killing civilians, raping kids and women, stealing all they can, killing dogs and cats...
RUSSIA UNDER PUTIN WHO THINKS HE IS STALIN IS JUST
            DISGUSTING!
So  the apologizes can be forgotten! EVIL!",-1
37,"AMERICA & ZELESKY 'S PROVOCATIONS TO PUTIN MAY CAUSE GREAT DESTRUCTION IN EUROPE AND WORLD. 
STILL IF ZELENSKY IS OUSTED FROM UKRAIN DESTRUCTION MAY HAULT AS PUTIN DONT WANT DESTRUCTION BUT BIDEN & ZELENSKY IS INVITING NUCLEAR WAR",0
38,"@tassagency_en WHO CARES 😏
You are already busy in a criminal war in Ukrain, killing civilians, raping kids and women, stealing all they can, killing dogs and cats...
RUSSIA UNDER PUTIN WHO THINKS HE IS STALIN IS JUST
            DISGUSTING!",-1
39,"@Dr_Uditraj @INCIndia Does Putin take concent from PCCI for begining Ukrain war & effect International Oil& Gas supply chain
Pls answer, waiting for your response.",0
40,"@RussiaUN @MID_RF @RusEmbBih @AmbasadaRusije @RusEmbCro @AmbrusSlo_Ru @AmbRusME @RusEmbHungary @rianru @tass_agency @UN_News_RU You are already busy in a criminal war in Ukrain, killing civilians, raping kids and women, stealing all they can, killing dogs and cats...
RUSSIA UNDER PUTIN WHO THINKS HE IS STALIN IS JUST
            DISGUSTING!
So your opinion 😜",-1
41,"@tassagency_en You are  busy in a criminal war in Ukrain, killing civilians, raping kids and women, stealing all they can, killing dogs and cats...
RUSSIA UNDER PUTIN WHO THINKS HE IS STALIN IS JUST
            DISGUSTING!",-1
42,"@marklevinshow Putin ass kissers as you call them are against a war involving Ukrain and the money laundering cabal when we have bigger issues to deal with right hear at home.
#2000Mules",-1
43,"Putin could use nuclear weapon if he felt war being lost – US intelligence chief https://t.co/jskgsZOEAS

plus my thoughts from the beginning: 
Paul Whelan: beginning of the end for Putin https://t.co/9jmB8Tru5A…

Ukraine: unintended consequences https://t.co/9jmB8Tru5A…",0
44,"@tassagency_en You are already busy in a criminal war in Ukrain, killing civilians, raping kids and women, stealing all they can, killing dogs and cats...
RUSSIA UNDER PUTIN WHO THINKS HE IS STALIN IS JUST
            DISGUSTING!",-1
45,"DESPITE RUSSIAN LOSSES GENERLY RUSSIAN PEOPLE SUPPORT THE RUSSIAN WAR EFFORT AND BELIEVE PUTIN IS PROTECTING THEM FROM A UKRAIN INVASION
https://t.co/OcudAP1tdC",0
46,"@johncoshea @DonaldJTrumpJr You now want to bring history text into what's happening in Ukrain now? You actually are trying to justify Putin's attack on a peaceful nation by digging into some past history that you've conjured up, knowing full well this is bull when attached to this war!",0
47,"@GumbyCosmic @Caudill1G @Bungalow_Jet @JamesFrank811 @KamVTV Putin doesn't have enough able bodied men to fight any major wars. They dont have the machinery for a major war. Sending $30B to Ukrain, if Putin was to win that battle... he now has an additional $30B to buy more war machines.... still not enough able bodied people!",0
48,"@RonFilipkowski You stoned Russian asset! You’re unraveling Fredo! Ukrain, a peaceful democratic society, was attacked by an autocrat! He launched a war based on lies and deception yet you stand by Putin. You couldn’t make it more clear. You’re going down",-1
49,"@rolotomasi777 @tedlieu @maggieNYT @bynsny putin is nostalgic of great Russia and wants to renew the borders of the old Warsaw pact. so he wants to erase ukrain nation.
these are the origins of this war. he wants to stop the NATO expansion.
so I do not know when this war will end",0
50,@lesiavasylenko Thats why all human&free people/countries are in war with Putin and his followers till their end. Slavia ukrain!,0
51,@CTVNews It's all on putin yet ukrain has been bombing the dunbas since 2014 its all putin yet nato is sending tons of weapons this is a 2 way war,0
52,@olgatokariuk @CNN_Ukrain You're 100% correct - Putin's medieval brutality of rape and pillage must be stopped. Its a just war and not a proxy war,-1
53,@RepJeffDuncan It’s a result of GOP Chairman Putin’s war in Ukrain and the mismanagement of the COVID pandemic by you and the former president that crippled American manufacturing and the supply chain.,0
54,"@antonioguterres @natgavrilita Well, Mr Guterres.  The socioeconomic impact of the war in Ukrain since the invasion by Putin on February 24, looks very grim!",-1
55,"@learnmoremvund1 @maDube_ Putin is just dangerous,it's all about world supremacy,that's why u see that China is not buying into his war the world supper power is a three horse race ie USA ,Russia & China , Putin sponsored extremists in Belarous ,Ukrain, etc so that he will get an excuse to invade them",-1
56,"https://t.co/uBJpJ2tLow
We poor border crosser IMM is calling on Nancy  P to quit because she is incouring Joe to send Arm to Ukrain for Putin to bomb we poor Immigrants and citizen need all that waste cash let her stick with stock markets soon Great Ression because of the war.",0
57,@RubikaLiyaquat U wrote good now  face change to russia putin and ukrain all suffer 76 days at war .destructions  think where and how the migrants stay want water shelter food safety  cause is nazis enemity .recovery is impossible .this cost  for putins trade oil arms .,0
58,"@AgosaJorayew7 I don’t think Russian people should be hurt for some thing the usa & Russian government leaders course , putin told USA 5 years ago he will never let ukrain be part of nato, usa started war for 20 years,vietnam then made Rambo films no sorry non of their billionaire ships taken",0
59,"@HannaLiubakova Dear Putin ,dear Zelensky,history says  1st Russian Kingdom established on 12th century in Ukrain..  you both are Russians. do whatever to Stop war.. War making some heros..killing millions innocent civilians..destroying women's and children's life like anything.",1
60,"It’s obvious that Putin will only stop his war if Zelensky is removed from power. His justification for the war was to denazify Ukrain. So, to justify the death of innocent Ukrainians and young Russian soldiers, he has to show his people that he succeeded in his goal.",0
61,"@elonmusk So true there is no angels in war, the war in Ukrain wouldn’t have happened if Trump was in office. It is so kind of you to try and help ease the Ukrainian people through communication. Keep up the good work, hopefully Putin will come to his senses and end this madness",1
62,Putin the loser of his own inept war on Ukrain ! https://t.co/tiaxHMbYCZ,-1
63,@BBCNews Putin is so vain he  invaded and started the war in Ukrain. Why to blame the west?,-1
64,@globaltimesnews We r not aliens to send signals 😂any how from day one of war Putin and his ministers spokesman and friends like u ..r continuesly threatening world with nukes..but neither ukrain cares nor west cares 😂..u know what they're waiting for it ..to end this communists nonsense,-1
65,@BBCHindi I think putin in mood to capture all ukrain and rule.. Thats why he taking too much time. Otherwise he would have finish all war in just one day 😄,-1
66,"@workingstuff15 @nytimes The point Is that in Ukrain its full of nazi that killed and raped. We all know about illegal bussines as Kids traffic, organ traffic. Zelensky paid by Biden and Co ti provocate Putin. The Ukrain Russian war should not weight on Europe. Solve y problems and stay out of Europe.",0
67,"HEY PUTIN, YOU JUST FOUND OUT THAT UKRAIN IS A VERY STRONG COUNTRY, WITH VERY STRONG PEOPLE AND VERY VERY STRONG SOLDIERS WHO ARE DEFENDING THEIR LAND VERY HARD
YOU PUTIN SENT MANY POOR SOLDIERS TO DIE IN UKRAIN,IN THIS POOR WAR,YOU ARE DONE BOY,FINISHED!! https://t.co/MScaJOMg2e https://t.co/kKM6UjqFGH",-1
68,"Putin spoke at Russia’s Victory Day parade, which commemorates the Soviet Union’s defeat of Nazism in World War II. He presented the invasion of Ukraine as the ideological successor of that campaign.
I'm wondering how he can continue to hide his defeat in Ukrain from his people.",0
69,"@ChristopherJM Zelinskyy is a brilliant leader, a counter speach , a rally, a declaration of war  that is contrary to Putin sad excuse of a speech to justify his atrocity’s and the needless blood he shed upon the land. Ukrain is the tip of the spear, War has been declared on Russia.",1
70,"@RichardHaass putin has no options than coming hard on Ukrain. Here, Ukrain represents the whole west as epitome and Putin is fighting with western power on Ukrain as the regional and global powers are wresltling in proxy war in syria. I dont think Russia with surrender to western pressure.",0
71,"@dbeberman @pati_marins64 @ChristopherJM its brilliant, so this is a counter speach , a rally, a declaration of war  that is contrary to Putin sad excuse of a speech to justify his atrocity’s and the needless blood he shed upon the land. Ukrain is the tip of the spear, War has been declared on Russia.",0
72,@BBCWorld Go a head Putin &  defeat USA internally . It's not war with Ukrain but America,0
73,"Live: Sri Lanka put under curfew after protests against President Rajapaksa

https://t.co/EQvLflaoQV",0
74,"Putin presents the Ukraine war as a pure defensive action – not a general mobilization https://t.co/kqzVg63e0K 
Defensive action? What is that? Pathological confusion? Putin has set up his troops for weeks as a threatening backdrop + on 24.2. gave the order to invaded ukrain!",0
75,@BBCWorld Bull **** t this war! What did u gain now? You all isolated and lost lives of your military. In your hands putin you killed hundreds of people of Ukrain.,-1
76,"Putin to mark Victory Day as Russia presses Ukraine assault
https://t.co/tstQW8hwh6",0
77,"Russian President Putin attempts to justify Ukrain invasion on ""Victory Day"" , not saying"" Declaration of War"" The West blocks are preparing our lands , including Crimea. NATO is creating threats to Russian Border. We've got to focus ""Liberation"" of Donetsk and Luhansk instead.",0
78,@StephenKing are you so afraid a seak and ill old man dont you read news putin and russland lost the war against ukrain its clearly he dont know what he does so whats the problem he need empathy understanding and love😍😍😍😍😍😍😍😍its tragedy,0
79,"@KyivIndependent Though it is nice and desirable to reduce the supply of money going to Putin's war chest.

I'm still convinced that 
- supplying (or allowing purchases of) modern weapons to ukrain
- gifting money to Ukrain so it can buy what it needs
- isolating Russia & preventing it to BUY /1",0
80,"Love him He is the greatest 
 He goes from clowning to fighting Covid He clowns then oversees another country at war who needs our help.
Labour would have let us all die and would have handed Ukrain to Putin so they could sing the Red Flag song in Red Square https://t.co/GnDqVW8WKL",-1
81,#Putin to mark #VictoryDay as #Russia presses #Ukraine assault https://t.co/HiN9iyGqJ8,0
82,"Cyclone Asani LIVE: Odisha govt plans evacuation in 4 coastal districts

#CycloneAsani #Odisha #Coastal 

https://t.co/kq2eWJlLLk",0
83,"Cyclone Asani LIVE: Odisha govt plans evacuation in 4 coastal districts

https://t.co/EQvLflaoQV",0
84,"Does Putin thinks he can cannperish the world when he cannot defeat only Ukrain? Or he thinks no country has what he is boating with? The threat is too much now.
Russia Warns US President Joe Biden That Alternative To 10,128 Sanctions Is World War III
https://t.co/HNf5JaoCKI",0
85,"Severe cyclone Asani rages in Bay of Bengal; Odisha plans evacuation

Stay tuned for LIVE updates 

#BayofBengal #CycloneAsani #CycloneAlert #Cyclone #Odisha 
https://t.co/yiXcRyYlNw",0
86,"Really worrying about #Ukrain.
#Putin  must stop this war immediately. Many times I thought Ukrain can win this war but it's not possible. @ZelenskyyUa  blindly believing EU, UK and USA.",0
87,"@HansPeterGustaf @landreth2004 @ishanch28401071 @jamesadelman @elonmusk Bruh. Putin even said why. First of all the war between ukrain and Russia isn't just since this year. This shit goes on for years already he just invaded now. And he invaded to ""denazify"" ukrain and BC he wants UdSSR back 🤷🏻‍♀️",0
88,"Today will be an important day. The Russian Victory day, where Putin will have a speech about ukrain etc.

If he announces a war/nuke war or anything like that, I’ll sell 50% of my portfolio :). 

Any other outcome will increase chances on a pump. 

Cheers",0
89,good tomorrow morning covid 19 max angleman fisher ukrain Putin war Mohamed Rajab wali they give you diabete give you sugar say diabete and they give food and put alot of salt and say you have diabetic say you have blood pressure problem Mohamed hanakin China donkey doctor,0
90,"@TimesNow All govt leaders of Europe Canada Australia & US , may be about 50 have visited Ukrain mainly it’s capital to appear on media charging &blaming Putin for war on Ukrain& announcing more & more sanctions & sending it more & more arms mostly old but no armies & Putin isn’t deterred",0
91,"Yes, in between bombings, war crimes, and nazi Russia, the best idea is to send in the first lady Dr. Jill Biden to Ukrain right? Totally not dangerous. Lets just hope evil Putin does nothing stupid like that, or we are in WW3 ( officially).
https://t.co/p8Av6B6F7y",0
92,"https://t.co/IDV5O1eiKh
Ny next few hours at 3 am tomm it start we set our reminder to awake us in the west when it start 
Putin say no New Wars he will continue dolishing Ukrain unless A deal he say his door always open for Negoation.
Tell Joker Putin not all out war a lie .
NY",0
93,"@KaMitch72 @Chiligrower2 @FoxNews 1 russia doesn't feel cornered. Putin is a despot, if he feels like there is no way out, (already being charged with war crimes) or atleast war crimes being called onto him. What will stop him?
2. Russia is strangling Ukrain. Stop falling g for the propaganda, on both sides.",-1
94,"Hahaha, another joker, Putin has not declared all out war against Ukrain yet, he simply took back what Lenin and Khruschov gave away, tomorrow will know more, 
take out Putin? Seriously?
""Let's take out Putin"": Graham doubles down on Ukraine war ""off-ramp"" https://t.co/71UgVRp7Go",0
95,"@EvanLSolomon @JustinTrudeau @melaniejoly @cafreeland War in #Ukraine is #PetroDollar war between #Putin & #US. As #US usually says #Ukrain is collateral damage & will get destroyed.#Trudeau understand this before you get burned. It’s not#Iraq,#Libya ,#Iran or recently regime change in #Pakistan. Putin has #Chemical &#Nuclear weapon",0
96,@SJosephBurns the only lie from BIDEN is that RUSSIA and PUTIN are losing the war and UKRAIN is winning the war !!!!!!!!! https://t.co/lbUCeC4Wrj,-1
97,"Putin loses 39th colonel in Ukraine War in gun battle near Kharkiv  https://t.co/9W3ieeDigS via @MailOnline Ukranians doing well I see of amount of Russian Colonels they've managed to get rid of  & soldiers - Glory to Ukraine - so hope Ukraine Soldiers can get  war
won for Ukrain",0
98,"@vonderleyen Putin can not survive this. Tomorrow it will be declared war from putin, Ukrain need warplanes and Turky must give S400, to kill russians in Mariupol and his warship must be removed! We have 5 days to avoid WW3! 14/5 you see this take off to nuclear next friday, if Putin survive",0
99,"There's a line from Shakespeare describing Putin and his prospects of outliving defeat in the Russia-Ukrain War by more than a day...

""Uneasy lies the head that wears a crown""",0
100,"@POTUS Did the war in the Ukrain cause a dozen eggs to raise from $1.25 a dozen to $3.38 a dozen? I knew it was Putin😏. 
#WeAreNotWellUSA",-1
101,"@tgnlnv @RALee85 Russia has no logistics. Ukrain has superior artillery now and Russia has order of magnitude more widows through 60 days of war. Credit to Putin though, as he is paying Russian widows $100 for their loss. Still too much.",0
102,"@AEHarshada All happening because of Russia and ukrain war 
#Putin",0
103,"@TheFIREorg @bereacollege Because, if shown the truth, students will understand that the United States is responsable for the war in Ukrain by expanding NATO up to Putin's front door. It's time Americans realize the threat that is the American empire.",1
104,"$SPY may 9th , putin will declare war against ukrain and then we will spy at 370",1
105,@SHamm77520351 @alexstubb @AlJazeera It worked when there was Soviet Union. It doesn't work anymore. Putin and his minions has lost their mind and they has become warmongers. They have already threaten us before even Ukrain war so we have lost all trust to them. Now we must find allies.,-1
106,"https://t.co/x1biGqN76o
NY. War crimes people in crimes  
Putin still looking for all of them he say it have some still alive in Ukrain he want them he say Hitler is a Jew got Jewist blood we belive because rev in Bible say that they that calling themselves Jews and do lie re. 2",-1
107,"@blackintheempir @donegalclaret There is now a lot of people that is on the side of Putin. and arguing that since there has been and are some Nazis in Ukrain (like there is in Russia, the US and so on.) the right thing is to go ta an all out war against the country. The insanety is real.",1
108,@fin_wit @yermolenko_v Zelensky was mindless. NATO advisors gave him bad ideas. He hate Russia at a high level. Then he insulted and humiliated Russia daily before the war. He never think about diplomacy. Check the press conferences between Macron and Putin and the one with Zelensky. Ukrain wait war,-1
109,"@KevPBolger It's getting clear the war will be lenthed years, Ukrain eager for territoril integrity which Russia  can't accept. Putin need a decent ceasefire now looks impossible.
War is a magic box, start easily but very difficultly ended.",0
110,"@10ghat @DerekJGrossman When you read about WW1 &amp; WW2, Do you read about whivh countries did condemn and which haven't ? Lol

History will remember, when war was in Europe, UK - US who signed budhapast agreement with Ukrain haven't made a single telephone call to Putin to stop war, but india made thrice",0
111,"a catalyst to war in ukrain is cocain and if so ,does putin smoke it.i see,if i lied to my representetive who care's",-1
112,@Fata_Turch @olgatokariuk @ManuelaBellipan Putin is a russian people business. Zelensky and his Oligarchs that wanted a war that cannot winn is Ukrain people business.,-1
113,"SLAVA 🇺🇦 UKRAINI!!!
SLAVA 🇺🇦 HEROJAM 💪!!!
STOP THE PUTIN'S MADNESS 🛑!!
STOP THE WAR ON UKRAIN 🛑! JJJJJ https://t.co/6ctBxPfsUK",1
114,"@euobs Why not earlier? He’s filthy rich, support Putin, is pro war against Ukrain, is an extremist .. wears his 30.000 euro watch when meeting the dictator . He makes Russian #Orthodox followers believe crime is allowed . Why not earlier?",0
115,"@reddeux2 @gatewaypundit @JoeBiden No this to is Putin's fault, you know the Ukrain war thing",1
116,@mpirotteRN hey... this is old news. Now we're focused on war and ukrain nazi heroes....... sorry. Putin killed covid...,-1
117,@zemiotik Lets all keep our hands of Ukrain. Especially Vladimir Putin who started a war without any reason,1
118,"@cyberclops @elonmusk It is funny pictures! USA have Democratic and Republic but in Democratic has leftists and in Republic has rino those dumb ass act just the same Communist may first step try to ruin down USA ? Screw Putin up , feed the war from Ukrain ? Ignore extremely dangerous from China! 🐀",-1
119,@LindaMo69437675 @gregkellyusa So respected that Putin has destroyed Ukrain. He has plunged the world into war bc of his weakness. Come on man!  This would not have happened under Trump!  The man can’t even speak comprehensive sentences. Not my President!,-1
120,@DrAdamAneevit Exactly Chicago is more of a war zone than Ukrain all those dead civilians was killed by their own people more than likely I haven’t seen Putin kill nothing but the dollar bill,0
121,"Yo Putin .. if you read this.. your war in ukrain will only add more countries to the nato and do the whole opposite of what you want

Just saying",0
122,"@uamemesforces You are just the stupidest  minister ... if you are with honor and of dignity and respect person  , you should tell your deputy head dumber putin to stop killing innocents families and stop the war against Ukrain.",-1
123,"Maybe a good point until Russia invaded Ukrain. Aa well the issues of East and West should be familiar to the Pope. Pope Francis Says NATO Started War in Ukraine by ‘Barking at Putin’s Door’

https://t.co/vCYJXUT88t",-1
124,The war crimes Putin is committing in Ukrain are reminding us what sort of war crimes Russia and Iran commited against poor and voiceless Syrian people.,-1
125,"@carlbildt @NATO russia has lost war in ukrain &amp; so been putin  mad about teh nazis that   barricaded stalingrad or so for two years and  2 million or 200000 russian  or russian soldiers died , i think  putin saying this thing partial for domestic reason .",-1
126,"Nato has started many wars in Africa and entire world in general that's why pope believe Nato started a war in Ukrain by barking at ""Putin's Door"" . I agree with pope Francis. They now has the opportunity to trade their Arms meaning more people are still going to die.",-1
127,"IPADLEARNING - DIGITALE REVOLUTIE https://t.co/DToRFZEV7R 

I can't stand russian fighters killing Ukrain children Putin you are dead or listen now Biden is no more shooting to Pope end your war while not I attack DUMA Parlement JSF-35 Laser lightning",-1
128,"@TimFaulkner81 nato has always been looking to provoke Putin and weaken russia.instead of addressing russian security threats, nato is encouraging  ukrain to participate in a war that they will not win in the expense of its citizens and infrastructure.",0
129,"@Jacob_Rees_Mogg The war in Ukrain has clearly united the EU, and UK is no longer able to be the spanner in the works, let's hope Tories don't get us thrown out of NATO with deception and Johnsons connections to Putin, we are a little island shrinking economy with no say or input since BREXIT.",0
130,"@Nh63396131 @Kateryna_Kruk I feel bad for both countries, but Ukrain's war is only a spark to set off World War 3 as a result. We the people are going to have to suffer and fight BECAUSE, 'There are weapons of mass destruction in a cave somewhere in Russia. Osama Been Putin' - George Bush",1
131,"Putin could officially declare war on Ukraine as soon as May 9
#Putin #ukrain #RussiaUkraine #RussiaUkraineCrisis #Zelenskyy @bhaskarlivein 
https://t.co/bDRzGNh5Dr",1
132,"@AJEnglish Putin knows These mfs won’t do anything just sanctions🤦🏿‍♂️🤦🏿‍♂️🤦🏿‍♂️ sanctions won’t stop the killings of innocent people in Ukrain, war u respond with war not sanctions, EU and NATO is just a Bunch of scared Bitches, thy scared of Putin these morons that’s why thy busy with Sanctions",-1
133,"@DavidSacks We can’t blame America for Putin, but we can blame America for how much American politicians vote to invest in Ukrain.  Also, we can blame America for pouring fuel on the fire of war instead of being a wet blanket for deescalation.",0
134,"@AureliusKarma @bowtiedfarmer now i know y putin was forced to create this umb war gains ukrain

it is just the second part of cov 19

loooks like food price will rise. at least we will get skinny .",1
135,@KyivIndependent Iff there will be a general mobilization putin first hase to tell that he hase laid to his people. That russia is in war with the Ukrain. But I think that he can’t afford a general mobilization. https://t.co/i2A6PvL7Wl,-1
136,"As long as western nations  interfere in this war they are only prolonging it and could possibly cause an escalation into nuclear war, there is no way Putin is going to stop until he has assurances that nato are not going to try and gain any kind of influence or control in ukrain",-1
137,"#Ukrain Crisis: Is #Putin has #planned this #war to complete his Cancer #Surgery? Must look this &amp; try to understand the Ukrain war &amp; Putin Surgery timing. Without war Surgery was not possoble? If yes then , @UN , for Putin surgery how much died, shifted, damages, #killings??Not?",-1
138,"@RonnyJacksonTX IFTFY;

The war in Ukraine would’ve NEVER happened with President Trump in the White House because he’d have followed Putin’s orders, destabilized NATO and left Ukrain defenseless allowing Putin to take over within days.",1
139,"@Plaid_Putin World Govt Constitution unique beauty lies in its diverse nations,diverse dialects,diverse cultures unity-in-diversity slam comment is United Nations world peace free but Russia warns against alien Ukrain war meddling as India warns alien Kashmir dispute meddling facts are sacred",1
140,Putin STOP your Ridiculous War with Ukrain Now,1
